tema,indicador,anio,sexo,disc,entidad,rango_edad,decil,num,den,casos,fuente,universo,encuesta
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Aguascalientes,60+,3,734.0,1330.0,11.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Aguascalientes,60+,4,460.0,2141.0,17.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Aguascalientes,60+,5,1423.0,3286.0,28.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Aguascalientes,60+,6,637.0,1617.0,13.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Aguascalientes,60+,7,874.0,3575.0,21.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Aguascalientes,60+,8,718.0,2362.0,17.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Aguascalientes,60+,9,894.0,2867.0,23.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California,18-29,1,41.0,82.0,2.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California,18-29,10,1121.0,1449.0,6.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California,18-29,2,0.0,39.0,1.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California,18-29,3,0.0,651.0,1.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California,18-29,4,574.0,654.0,3.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California,18-29,5,33.0,1319.0,3.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California,18-29,6,44.0,76.0,2.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California,18-29,7,1446.0,3096.0,7.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California,18-29,8,652.0,681.0,5.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California,18-29,9,1123.0,1202.0,3.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California,30-44,10,2477.0,3477.0,7.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California,30-44,2,1281.0,1762.0,3.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California,30-44,3,1750.0,1781.0,5.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California,30-44,4,24.0,633.0,3.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California,30-44,5,717.0,1298.0,4.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California,30-44,6,654.0,1660.0,6.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California,30-44,7,130.0,230.0,7.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California,30-44,8,1133.0,2280.0,7.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California,30-44,9,2221.0,3427.0,8.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California,45-59,1,556.0,591.0,3.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California,45-59,10,1352.0,2912.0,11.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California,45-59,2,81.0,723.0,4.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California,45-59,3,647.0,1848.0,6.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California,45-59,4,1192.0,2704.0,8.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California,45-59,5,775.0,1972.0,14.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California,45-59,6,2315.0,3267.0,14.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California,45-59,7,2347.0,3673.0,11.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California,45-59,8,3960.0,5830.0,18.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California,45-59,9,1648.0,4009.0,16.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California,60+,1,465.0,1045.0,4.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California,60+,10,659.0,6926.0,19.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California,60+,2,134.0,901.0,7.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California,60+,3,0.0,920.0,5.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California,60+,4,120.0,1455.0,13.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California,60+,5,884.0,2740.0,15.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California,60+,6,884.0,4475.0,22.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California,60+,7,1109.0,4652.0,26.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California,60+,8,1893.0,6809.0,26.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California,60+,9,2919.0,7631.0,32.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California Sur,18-29,1,0.0,139.0,1.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California Sur,18-29,10,597.0,720.0,5.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California Sur,18-29,3,302.0,336.0,3.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California Sur,18-29,4,183.0,449.0,4.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California Sur,18-29,5,149.0,180.0,2.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California Sur,18-29,7,0.0,73.0,1.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California Sur,18-29,8,0.0,73.0,1.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California Sur,18-29,9,149.0,228.0,4.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California Sur,30-44,1,0.0,176.0,2.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California Sur,30-44,10,277.0,431.0,6.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California Sur,30-44,2,37.0,155.0,3.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California Sur,30-44,3,107.0,107.0,3.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California Sur,30-44,4,405.0,405.0,4.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California Sur,30-44,5,172.0,284.0,4.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California Sur,30-44,6,40.0,73.0,2.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California Sur,30-44,7,239.0,375.0,4.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California Sur,30-44,8,79.0,79.0,2.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California Sur,30-44,9,619.0,705.0,8.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California Sur,45-59,1,139.0,392.0,3.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California Sur,45-59,10,604.0,805.0,10.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California Sur,45-59,2,84.0,240.0,5.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California Sur,45-59,3,23.0,87.0,2.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California Sur,45-59,4,226.0,343.0,5.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California Sur,45-59,5,845.0,1174.0,10.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California Sur,45-59,6,355.0,499.0,4.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California Sur,45-59,7,0.0,175.0,2.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California Sur,45-59,8,391.0,544.0,8.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California Sur,45-59,9,674.0,1316.0,14.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California Sur,60+,1,28.0,28.0,1.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California Sur,60+,10,470.0,2721.0,29.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California Sur,60+,2,164.0,224.0,4.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California Sur,60+,3,149.0,630.0,7.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California Sur,60+,4,76.0,295.0,6.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California Sur,60+,5,185.0,808.0,11.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California Sur,60+,6,366.0,1113.0,11.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California Sur,60+,7,341.0,1928.0,19.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California Sur,60+,8,383.0,1707.0,19.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California Sur,60+,9,358.0,1532.0,21.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Campeche,18-29,1,0.0,109.0,1.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Campeche,18-29,10,572.0,687.0,5.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Campeche,18-29,2,312.0,312.0,2.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Campeche,18-29,3,107.0,222.0,2.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Campeche,18-29,4,114.0,338.0,3.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Campeche,18-29,5,0.0,213.0,2.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Campeche,18-29,6,107.0,107.0,1.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Campeche,18-29,7,129.0,129.0,1.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Campeche,18-29,8,126.0,242.0,2.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Campeche,18-29,9,0.0,296.0,2.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Campeche,30-44,1,140.0,556.0,4.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Campeche,30-44,10,146.0,262.0,2.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Campeche,30-44,2,324.0,552.0,5.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Campeche,30-44,3,123.0,250.0,2.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Campeche,30-44,4,116.0,116.0,1.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Campeche,30-44,5,125.0,345.0,3.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Campeche,30-44,6,372.0,517.0,4.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Campeche,30-44,7,405.0,405.0,3.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Campeche,30-44,8,222.0,222.0,2.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Campeche,30-44,9,373.0,535.0,4.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Campeche,45-59,1,1054.0,1301.0,11.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Campeche,45-59,10,105.0,105.0,1.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Campeche,45-59,2,636.0,636.0,5.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Campeche,45-59,3,609.0,812.0,7.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Campeche,45-59,4,794.0,794.0,7.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Campeche,45-59,5,467.0,578.0,5.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Campeche,45-59,6,860.0,1189.0,10.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Campeche,45-59,7,609.0,717.0,6.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Campeche,45-59,8,0.0,124.0,1.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Campeche,45-59,9,231.0,335.0,3.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Campeche,60+,1,119.0,1113.0,9.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Campeche,60+,10,263.0,1570.0,14.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Campeche,60+,2,626.0,1768.0,14.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Campeche,60+,3,777.0,1763.0,16.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Campeche,60+,4,344.0,468.0,4.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Campeche,60+,5,558.0,1306.0,11.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Campeche,60+,6,454.0,989.0,9.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Campeche,60+,7,581.0,2372.0,20.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Campeche,60+,8,362.0,1423.0,12.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Campeche,60+,9,236.0,1537.0,12.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Chiapas,18-29,1,706.0,2912.0,4.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Chiapas,18-29,2,566.0,2660.0,4.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Chiapas,18-29,3,596.0,1074.0,2.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Chiapas,18-29,4,1002.0,1965.0,3.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Chiapas,18-29,5,565.0,565.0,1.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Chiapas,18-29,6,0.0,2087.0,3.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Chiapas,18-29,7,697.0,697.0,1.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Chiapas,18-29,9,0.0,577.0,1.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Chiapas,30-44,1,4917.0,6308.0,10.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Chiapas,30-44,10,533.0,1412.0,2.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Chiapas,30-44,2,1962.0,3698.0,6.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Chiapas,30-44,3,1062.0,2818.0,4.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Chiapas,30-44,4,2410.0,2410.0,3.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Chiapas,30-44,5,0.0,848.0,1.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Chiapas,30-44,6,533.0,1231.0,2.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Chiapas,30-44,7,0.0,577.0,1.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Chiapas,30-44,8,0.0,881.0,1.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Chiapas,30-44,9,738.0,738.0,1.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Chiapas,45-59,1,3431.0,6427.0,10.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Chiapas,45-59,10,533.0,533.0,1.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Chiapas,45-59,2,6102.0,8499.0,12.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Chiapas,45-59,3,0.0,2595.0,4.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Chiapas,45-59,4,3127.0,3852.0,5.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Chiapas,45-59,5,4133.0,5369.0,8.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Chiapas,45-59,6,0.0,1311.0,2.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Chiapas,45-59,7,1402.0,1402.0,2.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Chiapas,45-59,8,708.0,2322.0,3.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Chiapas,45-59,9,1807.0,2400.0,4.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Chiapas,60+,1,7061.0,12990.0,20.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Chiapas,60+,10,0.0,4074.0,6.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Chiapas,60+,2,5240.0,16278.0,25.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Chiapas,60+,3,6797.0,14048.0,21.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Chiapas,60+,4,3710.0,6566.0,10.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Chiapas,60+,5,1065.0,4971.0,8.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Chiapas,60+,6,5684.0,9752.0,14.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Chiapas,60+,7,3585.0,6126.0,10.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Chiapas,60+,8,2006.0,2603.0,4.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Chiapas,60+,9,1055.0,4326.0,7.0,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Chihuahua,18-29,1,363.0,745.0,6.0,ENIGH (INEGI),Personas de 18 años o más,enigh
